measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2015,78322.23887023173,82169.65659429718,70787.89075455136
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2015,113580.98556400128,118934.67493312614,103247.82094687282
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2015,137953.82258934045,144193.99063615216,123483.95211232932
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2015,173759.10606981572,181881.3165209587,158907.9118824038
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2015,207849.58146835928,219716.22461866078,193792.5766172519
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,1992,602374.2277287601,683468.2403139398,506947.84830086713
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,1992,69198.68081109399,79015.47057463984,56346.34053276505
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,1992,23599.98327271432,26022.37977288351,19808.641869178304
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,1992,18156.511333546303,19580.51122233169,15826.754244176047
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,1992,19240.603131083106,20537.508197985877,17163.643988432374
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,1992,20876.787748847946,22171.897476476515,18387.150237715065
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,1992,21140.231855286576,22315.83097520066,19115.468035463775
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,1992,23928.681757663602,25547.210570527037,21774.94346998084
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,1992,26970.989352082623,28423.680390287776,24617.12674993917
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,1992,29420.547700443203,31104.479918002908,26658.611249937087
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,1992,40001.92236973222,42773.57989972751,36076.58165286279
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,1992,51269.354609074995,54109.05611862756,46602.64877052789
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,1992,79030.05616162882,83555.3312945926,71279.69321013009
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,1992,96002.04771886495,101685.79680031446,87132.62781623304
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,1992,121924.90229201106,128818.17042447618,112481.13408860973
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,1992,136465.20403746076,144901.36468680276,127847.88188437387
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,1996,527573.112163965,597954.6189648643,446617.76357128844
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,1996,62373.14670846329,70291.92781296882,50884.168063501704
